iter	Logloss
0	0.6171807219
1	0.5484326429
2	0.5003447814
3	0.4613567895
4	0.4258228827
5	0.3859567068
6	0.3594025557
7	0.3312960698
8	0.3130026112
9	0.292368165
10	0.2721916431
11	0.2592345225
12	0.245803126
13	0.2340279728
14	0.2257617682
15	0.218929799
16	0.2121076915
17	0.2058030317
18	0.1998687959
19	0.1937479444
20	0.1899739517
21	0.1851728191
22	0.182469958
23	0.1786118539
24	0.1761469198
25	0.1743269392
26	0.1715227112
27	0.1686306827
28	0.1666562493
29	0.1650297444
30	0.1627674152
31	0.1619324963
32	0.1611728937
33	0.1592222562
34	0.1575025588
35	0.1569873148
36	0.1555768668
37	0.1539647117
38	0.1535352114
39	0.1520201985
40	0.1505947427
41	0.1503686332
42	0.1501634544
43	0.1498203486
44	0.1489986725
45	0.1479317794
46	0.1475482376
47	0.1474394005
48	0.1468838909
49	0.1464129584
50	0.1463331117
51	0.1454554685
52	0.1451591732
53	0.1445505023
54	0.1444921251
55	0.1438191259
56	0.1432841087
57	0.1430474955
58	0.1425434463
59	0.1417059752
60	0.1410612496
61	0.1405433611
62	0.1402520308
63	0.1400524938
64	0.1396234562
65	0.1392507434
66	0.1385423092
67	0.137937101
68	0.1376416679
69	0.1373966608
70	0.1369022389
71	0.1363619054
72	0.1363101837
73	0.1355311209
74	0.1351131979
75	0.134991838
76	0.1345434555
77	0.13441922
78	0.1339188136
79	0.1334966049
80	0.1334949488
81	0.1333427726
82	0.1327807523
83	0.1323493086
84	0.1320095119
85	0.1319282026
86	0.1318080884
87	0.1314054634
88	0.1313661719
89	0.1307376014
90	0.130466575
91	0.130329104
92	0.1299792658
93	0.1298301484
94	0.1295342459
95	0.1289733388
96	0.1289331484
97	0.128873552
98	0.1284574586
99	0.1284473679
100	0.1284407767
101	0.1281699207
102	0.1280689492
103	0.1280651274
104	0.1276422032
105	0.1274439007
106	0.1270771547
107	0.1266903457
108	0.1265242411
109	0.1262004666
110	0.1260844449
111	0.126029519
112	0.1259036842
113	0.125708114
114	0.125646913
115	0.1255746259
116	0.1255719742
117	0.1252236885
118	0.1252223588
119	0.1248856209
120	0.1245492151
121	0.1245464588
122	0.124517336
123	0.1245156273
124	0.1245034679
125	0.1244992051
126	0.1244970261
127	0.1242729594
128	0.1240115057
129	0.1237844674
130	0.1235756291
131	0.1234342218
132	0.123244825
133	0.1231616777
134	0.1230575668
135	0.1230566475
136	0.122416792
137	0.1221841646
138	0.1221177586
139	0.1219059623
140	0.1215153967
141	0.1214705683
142	0.1212554302
143	0.1211266632
144	0.1208345807
145	0.120648671
146	0.1206200728
147	0.1203812846
148	0.1203495815
149	0.1202656041
150	0.1202144429
151	0.1202135097
152	0.1198498399
153	0.1198471264
154	0.119658252
155	0.1196573456
156	0.1194652292
157	0.1192634558
158	0.1188532023
159	0.1186621681
160	0.1184258857
161	0.1183165608
162	0.1180612463
163	0.1175336893
164	0.1172941788
165	0.117094081
166	0.1170409349
167	0.1169388006
168	0.1168969245
169	0.1168554376
170	0.1167787757
171	0.1167507784
172	0.1165415893
173	0.1162057539
174	0.1160054976
175	0.1156334921
176	0.1156324627
177	0.1154908732
178	0.1151187407
179	0.1148212101
180	0.1145380223
181	0.1145369464
182	0.1142865754
183	0.113930431
184	0.1138246768
185	0.1137273512
186	0.1137263617
187	0.1134129846
188	0.1131592743
189	0.1131319964
190	0.1127182548
191	0.1126991494
192	0.1124455842
193	0.1123843794
194	0.1120758439
195	0.1118356512
196	0.1115781984
197	0.1114974707
198	0.1111930244
199	0.1111570543
200	0.1108798034
201	0.1108786917
202	0.1107352485
203	0.1106465918
204	0.1105112894
205	0.1100920402
206	0.1098201314
207	0.1095696712
208	0.1092080162
209	0.1089147818
210	0.108819891
211	0.1084617341
212	0.1082987507
213	0.1079110202
214	0.1078211911
215	0.1076697308
216	0.1074151293
217	0.1071475796
218	0.1070331333
219	0.1067275562
220	0.1066765822
221	0.1063721263
222	0.1062966296
223	0.1061243565
224	0.106011554
225	0.1059790041
226	0.1058734076
227	0.1057007439
228	0.1054774301
